(velocity (m/s), horizontal (m), vertical (m), leading), rate (V/s), rate (%/s)
(1.0, 1.0, 0.25, False), 0.011893372189132194, 1.1893372189132192
(1.0, 1.0, 0.5, False), 0.03484105013006177, 3.484105013006177
(1.0, 1.0, 0.75, False), -0.012695949677138302, -1.2695949677138303
(0.75, 1.0, 0.25, False), 3.187186710724843e-05, 0.0031871867107248395
(0.75, 1.0, 0.5, False), 0.005994002218405602, 0.5994002218405603
(0.75, 1.0, 0.75, False), -0.011300519563630684, -1.1300519563630684
(0.5, 1.0, 0.25, False), -0.0012426811121253988, -0.12426811121253983
(0.5, 1.0, 0.5, False), -0.002885222733207163, -0.28852227332071634
(0.5, 1.0, 0.75, False), -0.0044426847702390086, -0.4442684770239009
(0.5, 0.75, 0.25, False), -0.013595238681709945, -1.3595238681709945

Total number of unique datasets: 10

(Uses only the files inthe 350mAh_logs folder which don't also appear in
the old_logs folder.)